Model,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2,Train_Time,N_Coefs
Lasso_Sklearn,4.6823424647456,2.5562314765260545,0.8681405132312494,4.4110150391350595,2.2629072035211304,0.8437410460652324,2.5434038639068604,21
ElasticNet_Sklearn,4.699407683428453,2.6671840277456003,0.8671776141941365,4.41484460215113,2.5250515633574495,0.8434696059240729,9.817564487457275,25
Ridge_Sklearn,4.915943561926682,2.8524404391509077,0.8546554310458623,5.36350805673862,3.4999288902173826,0.768971419172926,1.1579978466033936,43
SGD_Sklearn,162909573376.38367,3351039431.962953,-1.5961666938625334e+20,587000359811.4686,4766213418.343749,-2.76722562434682e+21,3.751466751098633,43
